游戏名,开发者,平台,热度,展示估值,本周人气,投放天数,图片URL,视频URL
Car Jam: Traffic Puzzle,Shycheese,audience_network,996,3533246,635267,209,https://sp.dataideaglobal.com/sp_opera/3f6f194040723a67f790d2cfc1389b76.jpg,https://sp.dataideaglobal.com/sp_opera/a6e50c4c4035887e2b945c150e6d0b7a.mp4
Happy Color®: Color by Number,X-FLOW,instagram,304,2011321,354640,55,https://sp.dataideaglobal.com/sp_opera/da1cf31e5400df89ef2400ad88f9ef04.jpg,https://sp.dataideaglobal.com/sp_opera/6c0d64242a6edab6f6d30295f9c951f1.mp4
Mr Spider Hero Shooting Puzzle,NEXAR JOINT STOCK COMPANY,youtube,999,3805118,0,4,https://sp.dataideaglobal.com/sp_opera/f384b2c0e1de76da7329f144b5a14457.jpg,https://sp.dataideaglobal.com/sp_opera/b9aa139991fafed604e789a286df4d74.mp4
Block Crush!,Wonderful  Studio,instagram,122,1133908,161972,36,https://sp.dataideaglobal.com/sp_opera/d3e74987ce74186480015e853ca40376.jpg,https://sp.dataideaglobal.com/sp_opera/eaa526f7e74821906dc43d7011d9c5e0.mp4
Happy Color®: Color by Number,X-FLOW,audience_network,169,2964038,302491,35,https://sp.dataideaglobal.com/sp_opera/8556e673424aa04bbce23bf3e6074581.jpg,https://sp.dataideaglobal.com/sp_opera/4a80095b18ffc8e090aaf27b85d97fe6.mp4
Tricky Challenge: Mini Games,KHIZER RAZA,youtube,1000,48318737,0,1,https://sp.dataideaglobal.com/sp_opera/9a9d793559d040c56b1eb98447f21cb9.jpg,https://sp.dataideaglobal.com/sp_opera/74bb13a3be7ecf951c3c9ec433a498e7.mp4
Happy Color®: Color by Number,X-FLOW,audience_network,98,1704216,284028,20,https://sp.dataideaglobal.com/sp_opera/34c9ef025c39a217e242ec771f016c38.jpg,https://sp.dataideaglobal.com/sp_opera/caae81e08fe010a6e3789ac9e86adadd.mp4
Jigsawcard Solitaire Puzzle,Oakever Games,audience_network,72,1152492,206270,12,https://sp.dataideaglobal.com/sp_opera/c15e63eb624137791415222fd787db86.jpg,https://sp.dataideaglobal.com/sp_opera/79e83d57ef373aa778fe3cb783d15f22.mp4
Color Oasis - Color by Number,Tap Color Studio,audience_network,213,1388003,435725,43,https://sp.dataideaglobal.com/sp_opera/50c52a7ace57a54c1adf06cacf49e838.jpg,https://sp.dataideaglobal.com/sp_opera/1695234782fd47ec31ae1bbb6f76537c.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,932,1498840,0,139,https://sp.dataideaglobal.com/sp_opera/24057666c3c8684a55b05c44d3e901a9.jpg,https://sp.dataideaglobal.com/sp_opera/9800039ecffabcab48f86e67227c8aa5.mp4
Ball Sort Puzzle: Color Bubble,Topsmart Mobile Ltd.,audience_network,68,595879,0,14,https://sp.dataideaglobal.com/sp_opera/86b89ea7482002cb4c2f9c1c108100ca.jpg,https://sp.dataideaglobal.com/sp_opera/9b5b4b1f9512a6c63afd70b44012ce6f.mp4
Stop 2 - Word Trivia Game,"Fanatee, Inc.",instagram,69,568670,0,10,https://sp.dataideaglobal.com/sp_opera/41292a99b92ac650f594500b0bcaca57.jpg,https://sp.dataideaglobal.com/sp_opera/ef705b432a1e0c3185367ce6c9d593f2.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,999,10544961,0,306,https://sp.dataideaglobal.com/sp_opera/e62586662acdaa1515221b2b381ab011.jpg,https://sp.dataideaglobal.com/sp_opera/78ebd4455a00cc9b3e2fd3cb254e1844.mp4
Ball Sort Puzzle: Color Bubble,Topsmart Mobile Ltd.,audience_network,835,4428099,0,156,https://sp.dataideaglobal.com/sp_opera/226699d41ae5b802b28950a6cf609d81.jpg,https://sp.dataideaglobal.com/sp_opera/d605f7e6c0e7e96666d95d967e93a378.mp4
Car Jam - Arrows Parking games,Shycheese,audience_network,999,2565228,165511,238,https://sp.dataideaglobal.com/sp_opera/d9b24fbc8f3fc737aa33f7ba7b917af0.jpg,https://sp.dataideaglobal.com/sp_opera/a771cd04ff07db513511cd490f20c5cc.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,999,652724,0,306,https://sp.dataideaglobal.com/sp_opera/fccdbde51b272c59e6e30dea84726f47.jpg,https://sp.dataideaglobal.com/sp_opera/d56e3b1665be48a78dcaac01297ccbf5.mp4
Happy Screw Trip 3D,BESTPLAY GAMES PTE. LTD.,audience_network,64,2105525,0,8,https://sp.dataideaglobal.com/sp_opera/93168d11b7197165c83921690a5e9038.jpg,https://sp.dataideaglobal.com/sp_opera/3e0c707bb71a01f4f8ab660327e00edf.mp4
